Date,IBM
2013-08-08,120.14745330810548
2013-08-09,120.07715606689452
2013-08-12,120.88910675048828
2013-08-13,120.46076202392578
2013-08-14,119.89175415039062
2013-08-15,118.77936553955078
2013-08-16,118.49163055419922
2013-08-19,117.78199005126952
2013-08-20,117.99295806884766
2013-08-21,118.18475341796876
2013-08-22,118.395751953125
2013-08-23,118.5427703857422
2013-08-26,118.10807800292967
2013-08-27,116.82943725585938
2013-08-28,116.4585952758789
2013-08-29,116.76544952392578
2013-08-30,116.52889251708984
2013-09-03,117.6093521118164
2013-09-04,117.07872772216795
2013-09-05,117.7308578491211
2013-09-06,117.01482391357422
2013-09-09,118.26146697998048
2013-09-10,119.2971649169922
2013-09-11,121.91836547851562
2013-09-12,121.93757629394533
2013-09-13,122.85819244384766
2013-09-16,123.48473358154295
2013-09-17,122.85179901123048
2013-09-18,124.29669952392578
2013-09-19,123.6381378173828
2013-09-20,121.483642578125
2013-09-23,122.10381317138672
2013-09-24,121.45167541503906
2013-09-25,121.13206481933594
2013-09-26,121.6114730834961
